cluster,availability,access,utilisation
0,0.2226617659333878,-0.08885624096990345,-0.13380552496348433
1,0.014632251778529948,-0.0037185198744571135,-0.01091373190407284
2,0.07481143931917413,0.11229146658948366,-0.1871029059086578
